X1,Y1,Z1,X2,Y2,Z2
552,859.5,123.75,550.5,850.5,112.5
550.5,850.5,112.5,556.5,843,86.25
556.5,843,86.25,556.5,850.5,37.5
556.5,843,86.25,585,837,108.75
585,837,108.75,627,871.5,75
627,871.5,75,631.901733,876.382507,40.371658
631.901733,876.382507,40.371658,670.5,862.5,30
627,871.5,75,639,895.5,93.75
639,895.5,93.75,628.5,906,30
639,895.5,93.75,678,868.5,93.75
678,868.5,93.75,666,817.5,56.25
666,817.5,56.25,651,774,30
666,817.5,56.25,658.5,804,90
658.5,804,90,685.5,789,86.25
685.5,789,86.25,660,745.5,63.75
660,745.5,63.75,677.831482,710.103821,40.489433
677.831482,710.103821,40.489433,685.5,679.5,67.5
685.5,679.5,67.5,685.5,673.5,48.75
685.5,679.5,67.5,693,684,93.75
693,684,93.75,705,690,52.5
693,684,93.75,693,690,112.5
693,690,112.5,666,708,138.75
666,708,138.75,660,696,157.5
660,696,157.5,660,688.5,161.25
660,688.5,161.25,642,655.5,146.25
642,655.5,146.25,664.718689,623.9776,113.792274
664.718689,623.9776,113.792274,673.5,558,105
673.5,558,105,663.977905,551.841248,60.377556
663.977905,551.841248,60.377556,613.5,525,30
673.5,558,105,660,556.5,105
660,556.5,105,636,546,105
636,546,105,619.787842,522.573669,78.847801
619.787842,522.573669,78.847801,589.5,541.5,30
636,546,105,589.5,529.5,142.5
589.5,529.5,142.5,612,561,112.5
612,561,112.5,607.5,601.5,63.75
607.5,601.5,63.75,657,610.5,37.5
657,610.5,37.5,657,577.5,30
657,610.5,37.5,720,640.5,48.75
720,640.5,48.75,714,552,30
720,640.5,48.75,772.5,639,52.5
772.5,639,52.5,786,652.5,30
772.5,639,52.5,781.5,565.5,120
781.5,565.5,120,793.5,537,78.75
793.5,537,78.75,760.5,568.5,60
760.5,568.5,60,762,564,30
760.5,568.5,60,748.5,564,86.25
748.5,564,86.25,735,528,101.25
735,528,101.25,724.5,511.5,33.75
735,528,101.25,715.5,511.5,120
715.5,511.5,120,667.5,489,75
667.5,489,75,627.532349,479.851105,67.291992
627.532349,479.851105,67.291992,604.5,520.5,30
667.5,489,75,669,511.5,30
715.5,511.5,120,714,499.5,138.75
714,499.5,138.75,738,444,142.5
738,444,142.5,774,444,93.75
774,444,93.75,772.5,432,60
772.5,432,60,765,447,48.75
765,447,48.75,768,477,30
765,447,48.75,745.5,445.5,75
745.5,445.5,75,699,453,30
745.5,445.5,75,744,366,116.25
744,366,116.25,744,334.5,116.25
744,334.5,116.25,724.5,319.5,97.5
724.5,319.5,97.5,721.5,288,86.25
721.5,288,86.25,703.5,262.5,30
721.5,288,86.25,717,288,97.5
717,288,97.5,646.5,286.5,75
646.5,286.5,75,624,280.5,30
646.5,286.5,75,655.5,303,120
655.5,303,120,645,228,131.25
645,228,131.25,615.335205,237.914734,114.607216
615.335205,237.914734,114.607216,598.5,214.5,52.5
598.5,214.5,52.5,595.5,220.5,48.75
595.5,220.5,48.75,577.5,225,30
577.5,225,30,562.5,247.5,75
562.5,247.5,75,595.5,220.5,48.75
562.5,247.5,75,547.5,274.5,120
547.5,274.5,120,579,286.5,180
579,286.5,180,612,270,168.75
612,270,168.75,607.5,264,153.75
607.5,264,153.75,573,300,60
573,300,60,589.5,307.5,30
573,300,60,529.5,352.5,30
607.5,264,153.75,595.5,247.5,142.5
612,270,168.75,616.5,273,172.5
616.5,273,172.5,682.5,315,198.75
682.5,315,198.75,679.5,324,172.5
679.5,324,172.5,672,304.5,138.75
672,304.5,138.75,705,316.5,112.5
705,316.5,112.5,684,354,105
