Node,X,Y,Z
1007,910.5,996,153.75
1008,864.076477,1052.373779,162.826355
1009,820.5,1047,150
1010,835.5,1029,165
1011,825,984,176.25
1012,820.5,979.5,176.25
1013,822,976.5,172.5
1014,834,973.5,176.25
1015,868.5,937.5,225
1016,906,984,187.5
1017,945,958.5,180
1018,955.5,1047,146.25
1019,958.5,1050,138.75
1020,978,1059,127.5
1021,1038,1054.5,93.75
1022,998.872742,1027.823975,64.666946
1023,1041,1053,97.5
1024,1070.011475,1041.115356,76.437485
1025,1064.837524,986.402466,86.585243
1026,1116,963,78.75
1027,1161,895.5,41.25
1028,1136.172485,844.884766,30.036978
1029,1149,822,67.5
1030,1165.5,805.5,30
1031,1138.5,832.5,86.25
1032,1089,783,60
1033,1080.210571,726.175293,89.912315
1034,1083,690,75
1035,1068,675,30
1036,1140,687,63.75
1037,1170,609,90
1038,1165.5,592.5,90
1039,1146.539062,539.790771,30.641418
1040,1160.604248,490.130798,30.683088
1041,1158,478.5,56.25
1042,1123.5,460.5,30
1043,1183.5,453,67.5
1044,1209.009644,429.145752,31.427589
1045,1243.547363,402.315491,81.44622
1046,1194,385.5,146.25
1047,1215,345,180
1048,1224,318,146.25
1049,1204.5,295.5,135
1050,1195.5,301.5,116.25
1051,1194,321,112.5
1052,1186.391846,329.810974,42.334389
1053,1154.015991,334.020447,30.804861
1054,1159.706543,348.351349,82.389565
1055,1098,397.5,168.75
1056,1129.5,352.5,202.5
1057,1165.5,342,195
1058,1203,337.5,202.5
1059,1191,328.5,240
1060,1158,307.5,266.25
1061,1158,280.5,221.25
1062,1128,274.5,176.25
1063,1110,274.5,146.25
1064,1110,277.5,135
1065,1081.980103,353.239258,113.776352
1066,1099.5,357,30
1067,1132.5,264,120
1068,1150.5,261,116.25
1069,1176,247.5,108.75
1070,1188,241.5,82.5
1071,1191.537964,213.243393,45.630173
1072,1254,153,30
1073,1206,247.5,63.75
1074,1251.317749,214.284897,86.840477
1075,1213.5,166.5,120
1076,1209,156,101.25
1077,1218,153,101.25
1078,1252.500244,141.617416,76.802971
1079,1227,105,33.75
1080,1194,144,90
1081,1182,106.5,37.5
1082,1189.5,147,105
1083,1195.5,154.5,112.5
1084,1198.5,151.5,116.25
1085,1200,157.5,135
1086,1204.5,163.5,135
1087,1212,163.5,127.5
1088,1228.087158,142.611893,155.593018
1089,1248,186,198.75
